Country,Date,Weekday,Name,Type
australia,01/01/2024,Monday,New Year's Day,National Holiday
australia,25/01/2024,Thursday,Tu B'Shevat (Arbor Day),Jewish holiday
australia,26/01/2024,Friday,Australia Day,National Holiday
australia,10/02/2024,Saturday,Lunar New Year,State Holiday
australia,11/02/2024,Sunday,Lunar New Year Holiday (Day 2),State Holiday
australia,12/02/2024,Monday,Royal Hobart Regatta,State Holiday
australia,04/03/2024,Monday,Labour Day,State Holiday
australia,11/03/2024,Monday,Labour Day,State Holiday
australia,11/03/2024,Monday,Adelaide Cup,State Holiday
australia,11/03/2024,Monday,Canberra Day,State Holiday
australia,24/03/2024,Sunday,Purim,Jewish holiday
australia,29/03/2024,Friday,Good Friday,National Holiday
australia,30/03/2024,Saturday,Holy Saturday,State Holiday
australia,31/03/2024,Sunday,Easter Sunday,State Holiday
australia,01/04/2024,Monday,Easter Monday,National Holiday
australia,02/04/2024,Tuesday,Easter Tuesday,State Public Sector Holiday
australia,06/04/2024,Saturday,Self Determination Day,State Holiday
australia,08/04/2024,Monday,Day off for Self Determination Day,State Holiday
australia,10/04/2024,Wednesday,Hari Raya Puasa,State Holiday
australia,23/04/2024,Tuesday,First day of Passover,Jewish holiday
australia,25/04/2024,Thursday,ANZAC Day,National Holiday
australia,30/04/2024,Tuesday,Last day of Passover,Jewish holiday
australia,06/05/2024,Monday,May Day,State Holiday
australia,14/05/2024,Tuesday,Yom HaAtzmaut,Jewish holiday
australia,26/05/2024,Sunday,Lag B'Omer,Jewish holiday
australia,27/05/2024,Monday,Reconciliation Day,State Holiday
australia,03/06/2024,Monday,Western Australia Day,State Holiday
australia,10/06/2024,Monday,King's Birthday,State Holiday
australia,12/06/2024,Wednesday,Shavuot,Jewish holiday
australia,17/06/2024,Monday,Hari Raya Haji,State Holiday
australia,05/08/2024,Monday,New South Wales Bank Holiday,State Bank Holiday
australia,05/08/2024,Monday,Northern Territory Picnic Day,State Holiday
australia,13/08/2024,Tuesday,Tisha B'Av,Jewish holiday
australia,14/08/2024,Wednesday,Royal National Agricultural Show Day Queensland,State Holiday
australia,16/09/2024,Monday,Hari Maulad Nabi,State Holiday
australia,23/09/2024,Monday,King's Birthday,State Holiday
australia,27/09/2024,Friday,Friday before the AFL Grand Final (Tentative Date),State Holiday
australia,03/10/2024,Thursday,Rosh Hashana,Jewish holiday
australia,07/10/2024,Monday,Territory Day,State Holiday
australia,07/10/2024,Monday,King's Birthday,State Holiday
australia,07/10/2024,Monday,Labour Day,State Holiday
australia,12/10/2024,Saturday,Yom Kippur,Jewish holiday
australia,17/10/2024,Thursday,First day of Sukkot,Jewish holiday
australia,23/10/2024,Wednesday,Hoshana Rabbah,Jewish holiday
australia,24/10/2024,Thursday,Shemini Atzeret,Jewish holiday
australia,24/10/2024,Thursday,Royal Hobart Show,State Holiday
australia,25/10/2024,Friday,Simchat Torah,Jewish holiday
australia,04/11/2024,Monday,Recreation Day,State Holiday
australia,05/11/2024,Tuesday,Melbourne Cup Day,State Holiday
